Opponent,Stage,Map,Whose Pick?,Rounds Won,Rounds Lost,Win/Loss?,skuba Agent,s0m Agent,mada Agent,Ethan Agent,Brawk Agent,Verno Agent,FNS Agent,skuba Rating,s0m Rating,mada Rating,Ethan Rating,Brawk Rating,Verno Rating,FNS Rating
C9,2 Playoffs LR3,Haven,NRG,10,13,0,Killjoy,Viper,Neon,Omen,Sova,,,1.1,1.26,0.82,0.79,0.82,,
C9,2 Playoffs LR3,Corrode,Opponent,13,2,1,Viper,Omen,Waylay,KAY/O,Sova,,,0.85,1.12,2,1.34,1.85,,
C9,2 Playoffs LR3,Lotus,Decider,13,10,1,Viper,Omen,Raze,Fade,Vyse,,,0.85,1.3,1.14,1.32,1.4,,
SEN,2 Playoffs LF,Lotus,Opponent,13,4,1,Viper,Omen,Raze,Fade,Vyse,,,1.29,0.92,0.59,1.79,1.81,,
SEN,2 Playoffs LF,Icebox,NRG,13,11,1,Viper,Killjoy,Jett,Harbor,Sova,,,1.02,0.52,0.97,1.05,1.6,,
SEN,2 Playoffs LF,Sunset,Opponent,10,13,0,Cypher,Omen,Neon,Breach,Sova,,,0.92,0.48,0.8,1.11,1.12,,
SEN,2 Playoffs LF,Corrode,NRG,13,8,1,Viper,Omen,Waylay,KAY/O,Sova,,,1.15,0.69,1.13,1.06,1.38,,
G2,2 Playoffs GF,Bind,Opponent,13,11,1,Viper,Brimstone,Raze,KAY/O,Fade,,,1.12,1.06,0.78,1.23,1.08,,
G2,2 Playoffs GF,Lotus,NRG,13,8,1,Viper,Omen,Raze,Fade,Vyse,,,1.16,1.17,0.71,0.73,0.48,,
G2,2 Playoffs GF,Ascent,Opponent,13,10,1,Vyse,Omen,Jett,KAY/O,Sova,,,1,0.76,1,0.93,1.31,,
EDG,Groups Opener,Abyss,Opponent,17,15,1,Vyse,Harbor,Yoru,Omen,Sova,,,1.15,0.81,1.23,1.02,1.02,,
EDG,Groups Opener,Corrode,NRG,13,11,1,Viper,Omen,Waylay,KAY/O,Sova,,,1.29,1.3,0.69,1.3,0.7,,
DRX,Groups Winners',Haven,Opponent,4,13,0,Killjoy,Viper,Neon,Omen,Sova,,,1.05,0.75,0.96,0.66,0.71,,
DRX,Groups Winners',Corrode,NRG,13,11,1,Viper,Omen,Waylay,KAY/O,Sova,,,1.09,1.13,1.17,0.64,0.98,,
DRX,Groups Winners',Lotus,Decider,13,11,1,Viper,Omen,Raze,Fade,Vyse,,,0.91,1.03,0.96,1.07,1.65,,
GX,Upper QF,Haven,NRG,13,1,1,Killjoy,Viper,Neon,Omen,Sova,,,0.83,1.38,1.52,1.03,2.4,,
